doc_type,file,pass,blur,white,black
aadhaar,0521_adhar_jpg.rf.72e13b4a4ab63197d7bab138671ba17c.jpg,True,602.2408631018637,0.00069580078125,0.03115478515625
aadhaar,06a0686f91bed47d1f4873e4d104442c_jpg.rf.4de248f1b4d17d260413ea9bdde71762.jpg,True,155.8162091798544,0.00150634765625,0.0322412109375
aadhaar,06a0686f91bed47d1f4873e4d104442c_jpg.rf.ca85802ebdca5a2f1f293741021a6645.jpg,True,161.98522795677187,0.001669921875,0.02558837890625
aadhaar,06_01_2022_03_14_17_png_jpg.rf.84c131e9f3739196dcb217ce66872568.jpg,True,811.1253838741721,0.0,0.00723876953125
aadhaar,06_01_2022_03_14_51_png_jpg.rf.066ab05c8e52e0c8eb7f8160c29a5aae.jpg,True,1014.8844026169717,0.00025146484375,0.05421875
aadhaar,06_01_2022_03_14_59_png_jpg.rf.7d753a7852c989342a25fbf67bf385e9.jpg,True,716.7420598179757,0.0,0.05669677734375
aadhaar,06_01_2022_03_15_10_png_jpg.rf.17c7b58f4770bbdfe37d7d6379c0d9b8.jpg,True,1412.9975027644873,0.0,0.17264892578125
aadhaar,086d820550f34066764f4047ddc263ca_jpg.rf.32454616917066849f631ca30a4b828c.jpg,True,140.5338607480466,0.0,0.087919921875
aadhaar,086d820550f34066764f4047ddc263ca_jpg.rf.a1db7cb32097409875a50ff57106348a.jpg,True,130.08974343842866,0.0,0.06740234375
aadhaar,086d820550f34066764f4047ddc263ca_jpg.rf.ff9a8b4ea165aedc0d9b0e2f17aea548.jpg,True,169.93902878422145,0.0,0.0520458984375
aadhaar,0c0584201ff552c4bdcbe160315aa432_jpg.rf.55120e70e8bb77f855f46a2301544087.jpg,True,55.83485595631003,0.0,0.0989453125
aadhaar,0c0584201ff552c4bdcbe160315aa432_jpg.rf.5942e1af703ab2365c8b22d581c90451.jpg,True,70.26504141826034,0.0,0.074833984375
aadhaar,0c0584201ff552c4bdcbe160315aa432_jpg.rf.e0c3309bc63eac6d5352733e8406f5bd.jpg,True,80.40060165405276,0.0,0.04531494140625
aadhaar,0d4c873ace54e82fb49c451a9bdc6d24_jpg.rf.02e7c632969d4ac3e220650714efc1ea.jpg,True,163.36677695974703,0.0,0.069111328125
